2026-02-26 16:48:01.292 | INFO     | graph:node_generate_fun_fact:287 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Generate Fun Fact for 'apple'
2026-02-26 16:48:01.296 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-26 16:48:01.296 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=0.001s, response_length=54
2026-02-26 16:48:01.296 | INFO     | graph:stream_generator_to_callback:425 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Stream finished in 0.001s for introduction
2026-02-26 16:48:01.296 | INFO     | graph:node_generate_intro:347 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Generate Intro finished in 0.001s
2026-02-26 16:48:01.296 | INFO     | graph:node_finalize:1046 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Finalize
2026-02-26 16:48:01.296 | INFO     | graph:node_finalize:1098 | [9288488e-e9e7-44e7-85c2-4e72135d81f3] Node: Finalize finished in 0.000s
2026-02-26 16:48:01.299 | INFO     | graph:node_generate_fun_fact:287 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Generate Fun Fact for 'apple'
2026-02-26 16:48:01.299 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-02-26 16:48:01.299 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-02-26 16:48:01.299 | INFO     | theme_classifier:classify_object_to_theme:74 | [THEME_CLASSIFY] SUCCESS: apple -> nature | Concept: Change | Question: How does it change? | Thinking: Test
2026-02-26 16:48:01.299 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 0.000s | text_length=141
2026-02-26 16:48:01.299 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'apple'
2026-02-26 16:48:01.299 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 0.000s
2026-02-26 16:48:01.299 | WARNING  | stream.fun_fact:generate_fun_fact:198 | [FUN_FACT] No fun facts in structured output for 'apple'
2026-02-26 16:48:01.299 | INFO     | graph:node_generate_fun_fact:302 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Generate Fun Fact finished in 0.001s
2026-02-26 16:48:01.300 | INFO     | graph:node_generate_intro:318 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Generate Intro for 'apple'
2026-02-26 16:48:01.300 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: MockStream
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=7, total_length=7
2026-02-26 16:48:01.300 | INFO     | graph:stream_generator_to_callback:373 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] TTFT: 0.002s for introduction
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=6, total_length=13
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 3 | length=5, total_length=18
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 4 | length=6, total_length=24
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 5 | length=4, total_length=28
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 6 | length=8, total_length=36
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 7 | length=5, total_length=41
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 8 | length=6, total_length=47
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 9 | length=3, total_length=50
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 10 | length=4, total_length=54
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
2026-02-26 16:48:01.300 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-26 16:48:01.300 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=0.000s, response_length=54
2026-02-26 16:48:01.300 | INFO     | graph:stream_generator_to_callback:425 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Stream finished in 0.000s for introduction
2026-02-26 16:48:01.300 | INFO     | graph:node_generate_intro:347 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Generate Intro finished in 0.001s
2026-02-26 16:48:01.300 | INFO     | graph:node_finalize:1046 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Finalize
2026-02-26 16:48:01.300 | INFO     | graph:node_finalize:1098 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Finalize finished in 0.000s
2026-02-26 16:48:01.302 | INFO     | graph:node_analyze_input:260 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Analyze Input
2026-02-26 16:48:01.302 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 0.000s
2026-02-26 16:48:01.302 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=CLARIFYING | new_object=None | reasoning=N/A
2026-02-26 16:48:01.302 | INFO     | graph:node_analyze_input:273 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Analyze Input finished in 0.000s
2026-02-26 16:48:01.303 | INFO     | graph:node_clarifying:463 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Clarifying
2026-02-26 16:48:01.303 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=clarifying, object=apple, age=6
2026-02-26 16:48:01.303 | INFO     | graph:stream_generator_to_callback:373 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] TTFT: 0.002s for None
2026-02-26 16:48:01.303 | INFO     | stream.response_generators:generate_intent_response_stream:117 | generate_intent_response_stream completed | intent=clarifying, duration=0.000s, length=54
2026-02-26 16:48:01.303 | INFO     | graph:stream_generator_to_callback:425 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Stream finished in 0.000s for None
2026-02-26 16:48:01.303 | INFO     | graph:node_clarifying:478 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Clarifying finished in 0.000s
2026-02-26 16:48:01.303 | INFO     | graph:node_finalize:1046 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Finalize
2026-02-26 16:48:01.303 | INFO     | graph:node_finalize:1098 | [5eed2e7b-affe-4a2a-877d-ca2116fc0b69] Node: Finalize finished in 0.000s
2026-02-26 16:48:01.330 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:48:08.399 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 7.068s
2026-02-26 16:48:08.399 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:48:08.399 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 7.069s
2026-02-26 16:48:08.401 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:48:08.401 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:48:08.402 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.001s
2026-02-26 16:48:08.402 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.001s for unknown
2026-02-26 16:48:08.402 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.001s
2026-02-26 16:48:08.403 | INFO     | graph:node_finalize:1046 | [test_session] Node: Finalize
2026-02-26 16:48:08.552 | INFO     | graph:node_guide_navigator:789 | [test_scaffold] Node: Guide Navigator
2026-02-26 16:48:33.785 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:48:37.032 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 3.247s
2026-02-26 16:48:37.033 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:48:37.033 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 3.248s
2026-02-26 16:48:37.035 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:48:37.035 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:48:37.036 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.000s
2026-02-26 16:48:37.036 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.001s for unknown
2026-02-26 16:48:37.036 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.001s
2026-02-26 16:48:37.036 | INFO     | graph:node_finalize:1046 | [test_session] Node: Finalize
2026-02-26 16:48:37.182 | INFO     | graph:node_guide_navigator:789 | [test_scaffold] Node: Guide Navigator
2026-02-26 16:48:52.472 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:48:56.694 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 4.221s
2026-02-26 16:48:56.695 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:48:56.695 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 4.223s
2026-02-26 16:48:56.698 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:48:56.698 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:48:56.699 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.001s
2026-02-26 16:48:56.699 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.001s for unknown
2026-02-26 16:48:56.699 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.001s
2026-02-26 16:48:56.699 | INFO     | graph:node_finalize:1046 | [test_session] Node: Finalize
2026-02-26 16:56:37.569 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:56:41.840 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 4.271s
2026-02-26 16:56:41.840 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:56:41.840 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 4.272s
2026-02-26 16:56:41.841 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:56:41.842 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:56:41.842 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.000s
2026-02-26 16:56:41.842 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.000s for unknown
2026-02-26 16:56:41.842 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.000s
2026-02-26 16:56:41.842 | INFO     | graph:node_finalize:1046 | [test_session] Node: Finalize
2026-02-26 16:56:41.842 | INFO     | graph:node_finalize:1098 | [test_session] Node: Finalize finished in 0.000s
2026-02-26 16:56:41.875 | INFO     | graph:node_guide_navigator:789 | [test_scaffold] Node: Guide Navigator
2026-02-26 16:57:19.506 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:57:23.034 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 3.528s
2026-02-26 16:57:23.035 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:57:23.035 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 3.529s
2026-02-26 16:57:23.037 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:57:23.037 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:57:23.037 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.000s
2026-02-26 16:57:23.037 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.000s for unknown
2026-02-26 16:57:23.037 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.001s
2026-02-26 16:57:23.038 | INFO     | graph:node_finalize:1046 | [test_session] Node: Finalize
2026-02-26 16:57:23.038 | INFO     | graph:node_finalize:1098 | [test_session] Node: Finalize finished in 0.000s
2026-02-26 16:57:23.079 | INFO     | graph:node_guide_navigator:789 | [test_scaffold] Node: Guide Navigator
2026-02-26 16:57:23.080 | ERROR    | stream.theme_guide:analyze_turn:114 | [Navigator] Planning failed: 'MockClient' object has no attribute 'aio'
2026-02-26 16:58:05.639 | INFO     | graph:node_analyze_input:260 | [test_session] Node: Analyze Input
2026-02-26 16:58:09.740 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 4.100s
2026-02-26 16:58:09.740 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=INFORMATIVE | new_object=None | reasoning=The child is sharing a fact about the bike.
2026-02-26 16:58:09.740 | INFO     | graph:node_analyze_input:273 | [test_session] Node: Analyze Input finished in 4.101s
2026-02-26 16:58:09.743 | INFO     | graph:node_informative:491 | [test_session] Node: Informative
2026-02-26 16:58:09.743 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=informative, object=Bike, age=6
2026-02-26 16:58:09.744 | ERROR    | stream.response_generators:generate_intent_response_stream:105 | generate_intent_response_stream error | intent=informative, error='MockClient' object has no attribute 'aio', duration=0.001s
2026-02-26 16:58:09.744 | INFO     | graph:stream_generator_to_callback:425 | [test_session] Stream finished in 0.001s for unknown
2026-02-26 16:58:09.744 | INFO     | graph:node_informative:506 | [test_session] Node: Informative finished in 0.001s
2026-02-26 16:58:09.744 | INFO     | graph:node_finalize:1043 | [test_session] Node: Finalize
2026-02-26 16:58:09.745 | INFO     | graph:node_finalize:1095 | [test_session] Node: Finalize finished in 0.000s
2026-02-26 16:58:09.792 | INFO     | graph:node_guide_navigator:789 | [test_scaffold] Node: Guide Navigator
2026-02-26 16:58:09.792 | ERROR    | stream.theme_guide:analyze_turn:114 | [Navigator] Planning failed: 'MockClient' object has no attribute 'aio'
2026-02-26 16:58:09.794 | INFO     | graph:node_guide_driver:833 | [test_scaffold] Node: Guide Driver
2026-02-26 16:58:09.794 | ERROR    | stream.theme_guide:generate_response_stream:252 | [Driver] Generation failed: 'MockClient' object has no attribute 'aio'
2026-02-26 16:58:09.794 | INFO     | graph:node_finalize:1043 | [test_scaffold] Node: Finalize
2026-02-26 16:58:09.794 | INFO     | graph:node_finalize:1095 | [test_scaffold] Node: Finalize finished in 0.000s
2026-02-26 16:58:13.619 | INFO     | graph:node_generate_fun_fact:287 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Generate Fun Fact for 'apple'
2026-02-26 16:58:13.620 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'apple' (model=gemini-2.0-flash-lite)
2026-02-26 16:58:13.620 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 0.000s | text_length=141
2026-02-26 16:58:13.620 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'apple'
2026-02-26 16:58:13.620 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 0.000s
2026-02-26 16:58:13.620 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: apple
2026-02-26 16:58:13.620 | WARNING  | stream.fun_fact:generate_fun_fact:198 | [FUN_FACT] No fun facts in structured output for 'apple'
2026-02-26 16:58:13.621 | INFO     | theme_classifier:classify_object_to_theme:74 | [THEME_CLASSIFY] SUCCESS: apple -> nature | Concept: Change | Question: How does it change? | Thinking: Test
2026-02-26 16:58:13.621 | INFO     | graph:node_generate_fun_fact:302 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Generate Fun Fact finished in 0.002s
2026-02-26 16:58:13.621 | INFO     | graph:node_generate_intro:318 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Generate Intro for 'apple'
2026-02-26 16:58:13.621 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=apple, age=6, has_fun_fact=False
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:108 | Sending 1 messages to Gemini API
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:125 | Stream object type: MockStream
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 1 | length=7, total_length=7
2026-02-26 16:58:13.621 | INFO     | graph:stream_generator_to_callback:373 | [12afcb27-3825-4388-9eea-84211d2b03a5] TTFT: 0.004s for introduction
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 2 | length=6, total_length=13
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 3 | length=5, total_length=18
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 4 | length=6, total_length=24
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 5 | length=4, total_length=28
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 6 | length=8, total_length=36
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 7 | length=5, total_length=41
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 8 | length=6, total_length=47
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 9 | length=3, total_length=50
2026-02-26 16:58:13.621 | DEBUG    | stream.question_generators:ask_introduction_question_stream:140 | Chunk 10 | length=4, total_length=54
2026-02-26 16:58:13.622 | DEBUG    | stream.question_generators:ask_introduction_question_stream:145 | Gemini streaming API does not provide token usage in stream mode
2026-02-26 16:58:13.622 | DEBUG    | stream.question_generators:ask_introduction_question_stream:164 | Cleaned up stream via del in finally block
2026-02-26 16:58:13.622 | INFO     | stream.question_generators:ask_introduction_question_stream:169 | ask_introduction_question_stream completed | duration=0.001s, response_length=54
2026-02-26 16:58:13.622 | INFO     | graph:stream_generator_to_callback:425 | [12afcb27-3825-4388-9eea-84211d2b03a5] Stream finished in 0.001s for introduction
2026-02-26 16:58:13.622 | INFO     | graph:node_generate_intro:347 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Generate Intro finished in 0.001s
2026-02-26 16:58:13.622 | INFO     | graph:node_finalize:1043 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Finalize
2026-02-26 16:58:13.622 | INFO     | graph:node_finalize:1095 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Finalize finished in 0.000s
2026-02-26 16:58:13.624 | INFO     | graph:node_analyze_input:260 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Analyze Input
2026-02-26 16:58:13.624 | INFO     | stream.validation:classify_intent:91 | [CLASSIFY] LLM call duration: 0.000s
2026-02-26 16:58:13.624 | INFO     | stream.validation:classify_intent:120 | [CLASSIFY] intent=CLARIFYING | new_object=None | reasoning=N/A
2026-02-26 16:58:13.624 | INFO     | graph:node_analyze_input:273 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Analyze Input finished in 0.000s
2026-02-26 16:58:13.625 | INFO     | graph:node_clarifying:463 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Clarifying
2026-02-26 16:58:13.625 | INFO     | stream.response_generators:generate_intent_response_stream:55 | generate_intent_response_stream started | intent=clarifying, object=apple, age=6
2026-02-26 16:58:13.625 | INFO     | graph:stream_generator_to_callback:373 | [12afcb27-3825-4388-9eea-84211d2b03a5] TTFT: 0.002s for None
2026-02-26 16:58:13.625 | INFO     | stream.response_generators:generate_intent_response_stream:117 | generate_intent_response_stream completed | intent=clarifying, duration=0.000s, length=54
2026-02-26 16:58:13.625 | INFO     | graph:stream_generator_to_callback:425 | [12afcb27-3825-4388-9eea-84211d2b03a5] Stream finished in 0.000s for None
2026-02-26 16:58:13.625 | INFO     | graph:node_clarifying:478 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Clarifying finished in 0.000s
2026-02-26 16:58:13.626 | INFO     | graph:node_finalize:1043 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Finalize
2026-02-26 16:58:13.626 | INFO     | graph:node_finalize:1095 | [12afcb27-3825-4388-9eea-84211d2b03a5] Node: Finalize finished in 0.000s
2026-02-26 16:58:13.629 | INFO     | graph:node_generate_fun_fact:287 | [989f6156-67bc-4632-bf2a-a8b3f94e2f31] Node: Generate Fun Fact for 'banana'
2026-02-26 16:58:13.629 | INFO     | stream.fun_fact:generate_fun_fact:134 | [FUN_FACT] Step 1: Grounded research for 'banana' (model=gemini-2.0-flash-lite)
2026-02-26 16:58:13.630 | INFO     | theme_classifier:classify_object_to_theme:56 | [THEME_CLASSIFY] Classifying object: banana
2026-02-26 16:58:13.630 | INFO     | stream.fun_fact:generate_fun_fact:150 | [FUN_FACT] Step 1 completed in 0.000s | text_length=141
2026-02-26 16:58:13.630 | INFO     | theme_classifier:classify_object_to_theme:74 | [THEME_CLASSIFY] SUCCESS: banana -> nature | Concept: Change | Question: How does it change? | Thinking: Test
2026-02-26 16:58:13.630 | INFO     | stream.fun_fact:generate_fun_fact:168 | [FUN_FACT] Step 2: JSON structuring for 'banana'
2026-02-26 16:58:13.630 | INFO     | stream.fun_fact:generate_fun_fact:183 | [FUN_FACT] Step 2 completed in 0.000s
2026-02-26 16:58:13.630 | WARNING  | stream.fun_fact:generate_fun_fact:198 | [FUN_FACT] No fun facts in structured output for 'banana'
2026-02-26 16:58:13.630 | INFO     | graph:node_generate_fun_fact:302 | [989f6156-67bc-4632-bf2a-a8b3f94e2f31] Node: Generate Fun Fact finished in 0.001s
2026-02-26 16:58:13.630 | INFO     | graph:node_generate_intro:318 | [989f6156-67bc-4632-bf2a-a8b3f94e2f31] Node: Generate Intro for 'banana'
2026-02-26 16:58:13.630 | INFO     | stream.question_generators:ask_introduction_question_stream:68 | ask_introduction_question_stream started | object=banana, age=None, has_fun_fact=False
2026-02-26 16:58:13.630 | DEBUG    | stream.question_generators:ask_introduction_question_stream:97 | Messages prepared for API | count=2
