2026-02-06 09:29:45.259 | INFO     | graph:node_generate_fun_fact:171 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Generate Fun Fact for 'banana'
2026-02-06 09:30:36.177 | INFO     | stream.response_generators:generate_correction_response_stream:239 | generate_correction_response_stream started | object=banana, age=6
2026-02-06 09:30:37.193 | INFO     | graph:stream_generator_to_callback:309 | [917f63a7-b599-46f9-916b-a8eddb43a967] Time to First Token (TTFT): 1.016s for gentle_correction
2026-02-06 09:30:37.571 | INFO     | stream.response_generators:generate_correction_response_stream:295 | generate_correction_response_stream completed | duration=1.394s, length=286
2026-02-06 09:30:37.572 | INFO     | graph:stream_generator_to_callback:376 | [917f63a7-b599-46f9-916b-a8eddb43a967] Stream finished in 1.395s for gentle_correction
2026-02-06 09:30:37.572 | INFO     | graph:node_generate_response:512 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Generate Response finished in 1.395s
2026-02-06 09:30:37.573 | INFO     | graph:route_after_response:860 | [917f63a7-b599-46f9-916b-a8eddb43a967] Triggering Theme Guide (Count: 4+1)
2026-02-06 09:30:37.574 | INFO     | graph:node_start_guide:584 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Start Guide
2026-02-06 09:30:37.575 | INFO     | graph:node_finalize:733 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Finalize
2026-02-06 09:30:37.575 | INFO     | graph:node_finalize:785 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Finalize finished in 0.000s
2026-02-06 09:30:53.887 | INFO     | graph:node_guide_commit:630 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Guide Commit Logic
2026-02-06 09:30:55.086 | INFO     | graph:node_guide_success:675 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Guide Success
2026-02-06 09:30:55.089 | INFO     | graph:node_finalize:733 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Finalize
2026-02-06 09:30:55.090 | INFO     | graph:node_finalize:785 | [917f63a7-b599-46f9-916b-a8eddb43a967] Node: Finalize finished in 0.001s
